Link_Produk,Harga,tahun_KM_Mobil,Nama_Produk,Lokasi_Produk,jenis_mobil,Platform
https://www.olx.co.id/item/taruna-2005-csx-oxxy-antik-super-istimewa-iid-929484370,78000000,2005 - 50.000-55.000 km,Daihatsu Taruna,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/toyota-avanza-2023-bensin-iid-929619594,210000000,2023 - 25.000-30.000 km,Toyota Avanza,Cilandak,manual,olx
https://www.olx.co.id/item/tdp-5-daihatsu-terios-2023-bensin-iid-926111397,210000000,2023 - 0-5.000 km,Daihatsu Terios,Cilandak,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-avanza-13-e-bensin-mt-2022-hitam-ezl-iid-928841015,178000000,2022 - 15.000-20.000 km,Toyota Avanza,Tambun Selatan,manual,olx
https://www.olx.co.id/item/dp-rendah-toyota-raize-10-turbo-g-bensin-mt-2022-merah-kzq-iid-929047365,164000000,2022 - 40.000-45.000 km,Toyota Raize,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-raize-10-g-one-tone-bensin-mt-2021-hitam-kzk-iid-929047511,152000000,2021 - 50.000-55.000 km,Toyota Raize,Tambun Selatan,manual,olx
https://www.olx.co.id/item/dp-rendah-daihatsu-xenia-13-r-bensin-mt-2014-silver-tid-iid-929047426,106000000,2014 - 125.000-130.000 km,Daihatsu Xenia,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-suzuki-ignis-12-gl-bensin-mt-2021-orange-kzj-iid-929047562,123000000,2021 - 85.000-90.000 km,Suzuki Ignis,Tambun Selatan,manual,olx
https://www.olx.co.id/item/mobil-baru-dp-5jt-suzuki-carry-pick-up-iid-929009580,135500000,2024 - 0-5.000 km,Suzuki Carry Pick-up,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/turun-harga-ori-4x4-km-130rb-mitsubishi-pajero-v6-3000cc-manual-1995-iid-924923665,143000000,1995 - 130.000-135.000 km,Mitsubishi Pajero,Pasar Minggu,manual,olx
https://www.olx.co.id/item/toyota-calya-tdp5jt-g-manual-2023-km7rb-fulloriginal-sepertibaru-gress-iid-924418026,132000000,2023 - 5.000-10.000 km,Toyota Calya,Cilandak,manual,olx
https://www.olx.co.id/item/toyota-calya-tdp5jt-12-e-manual-2023-fulloriginal-sepertibaru-gressss-iid-921458486,123000000,2023 - 10.000-15.000 km,Toyota Calya,Cilandak,manual,olx
https://www.olx.co.id/item/toyota-calya-2017-bensin-iid-929619146,85000000,2017 - >300.000 km,Toyota Calya,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/daihatsu-terios-2018-bensin-iid-929617054,170000000,2018 - 115.000-120.000 km,Daihatsu Terios,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/daihatsu-terios-2018-bensin-iid-929617051,170000000,2018 - 115.000-120.000 km,Daihatsu Terios,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/tdp-5-toyota-rush-2021-bensin-iid-924659565,225000000,2021 - 35.000-40.000 km,Toyota Rush,Cilandak,manual,olx
https://www.olx.co.id/item/daihatsu-sigra-2024-bensin-iid-928010086,148000000,2024 - 25.000-30.000 km,Daihatsu Sigra,Cilandak,manual,olx
https://www.olx.co.id/item/daihatsu-sigra-2024-bensin-iid-928151367,148000000,2024 - 25.000-30.000 km,Daihatsu Sigra,Cilandak,manual,olx
https://www.olx.co.id/item/toyota-supra-gr-20192020-yellow-on-black-iid-929610434,1850000000,2020 - 0-5.000 km,Toyota Supra,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/porsche-718-boxster-s-mt-20232021-iid-929607076,2450000000,2023 - 0-5.000 km,Porsche 718,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/jul-mobil-bekas-mitsubishi-galant-v6langsung-cek-aja-iid-929605150,30000000,1996 - >300.000 km,Mitsubishi Galant,Mampang Prapatan,manual,olx
https://www.olx.co.id/item/avanza-s-mt-2007-iid-929600416,88000000,2007 - 145.000-150.000 km,Toyota Avanza,Pasar Minggu,manual,olx
https://www.olx.co.id/item/mitsubishi-colt-diesel-fe-71-110ps-4r-box-alumunium-2019-terawat-iid-929600136,241900000,2019 - 65.000-70.000 km,Mitsubishi Colt,Pesanggrahan,manual,olx
https://www.olx.co.id/item/km-rendah-daihatsu-ayla-10-m-sporty-bensin-mt-2016-putih-0nh-iid-929082153,85000000,2016 - 5.000-10.000 km,Daihatsu Ayla,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-hitam-srz-iid-929082362,182000000,2021 - 35.000-40.000 km,Daihatsu Xenia,Tambun Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-kijang-innova-20-g-bensin-mt-2015-putih-fvh-iid-929106995,147000000,2015 - 60.000-65.000 km,Toyota Kijang Innova,Sawah Besar,manual,olx
https://www.olx.co.id/item/dp-rendah-daihatsu-terios-15-adventure-r-bensin-mt-2017-sza-iid-929106925,132000000,2017 - 95.000-100.000 km,Daihatsu Terios,Pondok Melati,manual,olx
